jill_biden,time_finish,link,place,text,date,flotus,potus,vpotus,time_start
If remarks included Jill Biden,When the remarks finished,Link to remarks on wh.gov,Where were the remarks delivered,Link text/post headline,Date remarks were given,If remarks included Michelle Obama,If remarks included Obama,If remarks included Biden,When the remarks began
1,time_finish not found,https://www.whitehouse.gov/the-press-office/2016/11/18/remarks-dr-jill-biden-20th-anniversary-celebration-community-college,"
	New York, New York
	Thursday, November 17, 2016","Remarks of Dr. Jill Biden at the 20th Anniversary Celebration of the Community College Research Center at Teachers College, Columbia University as Prepared for Delivery","November 18, 2016",0,0,0,time_start not found
0,6:38 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/17/remarks-president-obama-and-chancellor-merkel-germany-joint-press,"
German Chancellory
 Berlin, Germany",Remarks by President Obama and Chancellor Merkel of Germany in a Joint Press Conference,"November 17, 2016",0,1,0,5:33 P.M.
0,time_finish not found,https://www.whitehouse.gov/the-press-office/2016/11/17/op-ed-president-obama-and-chancellor-merkel-future-transatlantic,TK,Op-Ed by President Obama and Chancellor Merkel: The Future of Transatlantic Relations,"November 17, 2016",0,1,0,time_start not found
0,time_finish not found,https://www.whitehouse.gov/the-press-office/2016/11/16/fact-sheet-establishing-council-community-solutions-align-federal,TK,FACT SHEET: Establishing a Council on Community Solutions to Align Federal Efforts with Local Priorities and Citizensâ€™ Needs,"November 16, 2016",0,0,0,time_start not found
0,2:54 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/16/remarks-president-obama-stavros-niarchos-foundation-cultural-center,TK,"Remarks by President Obama at Stavros Niarchos Foundation Cultural Center in Athens, Greece","November 16, 2016",0,1,0,2:03 P.M.
0,8:00 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/15/remarks-president-obama-and-president-pavlopoulos-greece-state-dinner,TK,Remarks by President Obama and President Pavlopoulos of Greece at State Dinner,"November 15, 2016",0,1,0,7:37 P.M.
0,3:03 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/15/remarks-first-lady-national-arts-and-humanities-youth-program-awards,"
	East Room",Remarks by the First Lady at the National Arts and Humanities Youth Program Awards,"November 15, 2016",1,0,0,2:14 P.M.
0,5:25 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/15/remarks-president-obama-and-prime-minister-alexis-tsipras-greece-joint,"Maximos Mansion
Athens, Greece",Remarks by President Obama and Prime Minister Alexis Tsipras of Greece in Joint Press Conference,"November 15, 2016",0,1,0,4:20 P.M.
0,1:50 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/15/remarks-president-obama-and-president-pavlopoulos-greece-courtesy-call,"
	Presidential Mansion
	Athens, Greece",Remarks by President Obama and President Pavlopoulos of Greece before Courtesy Call,"November 15, 2016",0,1,0,1:37 P.M.
0,5:17 P.M.,https://www.whitehouse.gov/the-press-office/2016/11/14/remarks-president-conference-call-grassroots-supporters-and-ofa-alumni,TK,Remarks by the President in Conference Call with Grassroots Supporters and OFA Alumni,"November 14, 2016",0,1,0,5:03 P.M.
